id;title;photo_url;photo;photo_content_type;code;video;video_content_type;video_url;master_description
1;Via collaborative Manager;intranet Hat Computer;../fake-data/blob/hipster.png;image/png;back-end Music turquoise;../fake-data/blob/hipster.png;image/png;Customer bus;back-end teal
2;bypass;Hong portals Garden;../fake-data/blob/hipster.png;image/png;cyan Human RAM;../fake-data/blob/hipster.png;image/png;Ball capability Concrete;payment
3;Harbors magenta Usability;Director copy Strategist;../fake-data/blob/hipster.png;image/png;Mouse;../fake-data/blob/hipster.png;image/png;granular SAS;haptic Islands Regional
4;synthesizing Program transmitter;back-end;../fake-data/blob/hipster.png;image/png;SMS Skyway;../fake-data/blob/hipster.png;image/png;action-items mobile;vortals Sleek
5;Persistent red;Gorgeous;../fake-data/blob/hipster.png;image/png;Circles;../fake-data/blob/hipster.png;image/png;Card ROI Practical;incubate Paradigm payment
6;Consultant;Borders integrated;../fake-data/blob/hipster.png;image/png;purple Internal envisioneer;../fake-data/blob/hipster.png;image/png;Diverse asymmetric;Gorgeous Ball
7;needs-based Auto Forward;generate Towels Fork;../fake-data/blob/hipster.png;image/png;District reboot Tasty;../fake-data/blob/hipster.png;image/png;Manager;Mozambique Market Divide
8;Table 24/7;driver blockchains;../fake-data/blob/hipster.png;image/png;Islands;../fake-data/blob/hipster.png;image/png;Borders transmitter;copy Vermont networks
9;Granite;multimedia Facilitator Soap;../fake-data/blob/hipster.png;image/png;Movies Fresh;../fake-data/blob/hipster.png;image/png;Games Director;Iceland Ergonomic
10;Architect Belize Italy;Ergonomic;../fake-data/blob/hipster.png;image/png;Organic;../fake-data/blob/hipster.png;image/png;bus;Account
